fn_802994A8	80299648	r9	init:li r9, 0x1	auto_03_802731B4_text.s
fn_8029AB64	8029AEA0	r30	init:?	auto_03_802731B4_text.s
fn_8029C3A4	8029CA80	r6	init:?	auto_03_802731B4_text.s
fn_802A3158	802A33A4	r6	init:li r6, 0x0	auto_03_802731B4_text.s
fn_802A4750	802A48A0	r5	init:li r5, 0x0	auto_03_802731B4_text.s
fn_802A48B0	802A4A0C	r5	init:li r5, 0x0	auto_03_802731B4_text.s
fn_802A52B0	802A5404	r6	init:li r6, 0x0	auto_03_802731B4_text.s
fn_802A52B0	802A5604	r3	init:li r3, 0x0	auto_03_802731B4_text.s
fn_802A52B0	802A57F4	r3	init:li r3, 0x0	auto_03_802731B4_text.s
fn_802A59AC	802A5B0C	r3	init:li r3, 0x0	auto_03_802731B4_text.s
fn_802A59AC	802A5D74	r3	init:li r3, 0x0	auto_03_802731B4_text.s
fn_802A5F10	802A6064	r4	init:li
