pragma:peephole off	-	c16_pipe=aa[0,1,2,3,4,5,6,7] c2_asc=dd[1,0] c4_asc=mm[1,2,3,0] c6_asc=mm[1,2,3,4,5,0] c8_arr=mm[1,2,3,4,5,6,7,0] c8_asc=mm[1,2,3,4,5,6,7,0] c8_desc=dd[7,6,5,4,3,2,1,0] c8_reg=mm[1,2,3,4,5,6,7,0] c8_revuse=am[1,2,3,4,5,6,7,0]
pragma:scheduling off	-	c16_pipe=aa[0,1,2,3,4,5,6,7] c2_asc=dd[1,0] c4_asc=mm[1,2,3,0] c6_asc=mm[1,2,3,4,5,0] c8_arr=mm[1,2,3,4,5,6,7,0] c8_asc=mm[1,2,3,4,5,6,7,0] c8_desc=dd[7,6,5,4,3,2,1,0] c8_reg=mm[1,2,3,4,5,6,7,0] c8_revuse=am[1,2,3,4,5,6,7,0]
pragma:global_optimizer off	-	c16_pipe=aa[0,1,2,3,4,5,6,7] c2_asc=aa[0,1] c4_asc=aa[0,1,2,3] c6_asc=aa[0,1,2,3,4,5] c8_arr=ad[7,6,5,4,3,2,1,0] c8_asc=aa[0,1,2,3,4,5,6,7] c8_desc=dd[7,6,5,4,3,2,1,0] c8_reg=aa[0,1,2,3,4,5,6,7] c8_revuse=aa[0,1,2,3,4,5,6,7]
pragma:global_optimizer on	-	c16_pipe=aa[0,1,2,3,4,5,6,7] c2_asc=dd[1,0] c4_asc=mm[1,2,3,0] c6_asc=mm[1,2,3,4,5,0] c8_arr=mm[1,2,3,4,5,6,7,0] c8_asc=mm[1,2,3,4,5,6,7,0] c8_desc=dd[7,6,5,4,3,2,1,0] c8_reg=mm[1,2,3,4,5,6,7,0] c8_revuse=am[1,2,3,4,5,6,7,0]
pragma:optimize_for_size on	-	c16_pipe=aa[0,1,2,3,4,5,6,7] c2_asc=dd[1,0] c4_asc=mm[1,2,3,0] c6_asc=mm[1,2,3,4,5,0] c8_arr=mm[1,2,3,4,5,6,7,0] c8_asc=mm[1,2,3,4,5,6,7,0] c8_desc=dd[7,6,5,4,3,2,1,0] c8_reg=mm[1,2,3,4,5,6,7,0] c8_revuse=am[1,2,3,4,5,6,7,0]
pragma:optimization_level 0	HIT	c16_pipe=ad[31,30,29,28,27,26,25,24] c2_asc=ad[31,30] c4_asc=ad[31,30,29,28] c6_asc=ad[31,30,29,28,27,26] c8_arr=md[6,5,4,3,2,1] c8_asc=ad[31,30,29,28,27,26,25,24] c8_desc=da[24,25,26,27,28,29,30,31] c8_reg=ad[31,30,29,28,27,26,25,24] c8_revuse=ad[31,30,29,28,27,26,25,24]
pragma:optimization_level 1	-	c16_pipe=aa[0,1,2,3,4,5,6,7] c2_asc=aa[0,1] c4_asc=aa[0,1,2,3] c6_asc=aa[0,1,2,3,4,5] c8_arr=aa[0,1,2,3,4,5,6,7] c8_asc=aa[0,1,2,3,4,5,6,7] c8_desc=dd[7,6,5,4,3,2,1,0] c8_reg=aa[0,1,2,3,4,5,6,7] c8_revuse=aa[0,1,2,3,4,5,6,7]
pragma:optimization_level 2	-	c16_pipe=aa[0,1,2,3,4,5,6,7] c2_asc=aa[0,1] c4_asc=aa[0,1,2,3] c6_asc=aa[0,1,2,3,4,5] c8_arr=am[7,0,1,2,3,4,5,6] c8_asc=aa[0,1,2,3,4,5,6,7] c8_desc=dd[7,6,5,4,3,2,1,0] c8_reg=aa[0,1,2,3,4,5,6,7] c8_revuse=am[1,2,3,4,5,6,7,0]
pragma:optimization_level 3	-	c16_pipe=aa[0,1,2,3,4,5,6,7] c2_asc=dd[1,0] c4_asc=mm[1,2,3,0] c6_asc=mm[1,2,3,4,5,0] c8_arr=mm[1,2,3,4,5,6,7,0] c8_asc=mm[1,2,3,4,5,6,7,0] c8_desc=dd[7,6,5,4,3,2,1,0] c8_reg=mm[1,2,3,4,5,6,7,0] c8_revuse=am[1,2,3,4,5,6,7,0]
pragma:optimization_level 4	-	c16_pipe=aa[0,1,2,3,4,5,6,7] c2_asc=dd[1,0] c4_asc=mm[1,2,3,0] c6_asc=mm[1,2,3,4,5,0] c8_arr=mm[1,2,3,4,5,6,7,0] c8_asc=mm[1,2,3,4,5,6,7,0] c8_desc=dd[7,6,5,4,3,2,1,0] c8_reg=mm[1,2,3,4,5,6,7,0] c8_revuse=am[1,2,3,4,5,6,7,0]
