opt:base+nolifetimes	-	c16_pipe=aa[0,1,2,3,4,5,6,7] c2_asc=dd[1,0] c4_asc=mm[1,2,3,0] c6_asc=mm[1,2,3,4,5,0] c8_arr=mm[1,2,3,4,5,6,7,0] c8_asc=mm[1,2,3,4,5,6,7,0] c8_desc=dd[7,6,5,4,3,2,1,0] c8_reg=mm[1,2,3,4,5,6,7,0] c8_revuse=am[1,2,3,4,5,6,7,0]
opt:base+nocse	-	c16_pipe=aa[0,1,2,3,4,5,6,7] c2_asc=dd[1,0] c4_asc=mm[1,2,3,0] c6_asc=mm[1,2,3,4,5,0] c8_arr=mm[1,2,3,4,5,6,7,0] c8_asc=mm[1,2,3,4,5,6,7,0] c8_desc=dd[7,6,5,4,3,2,1,0] c8_reg=mm[1,2,3,4,5,6,7,0] c8_revuse=am[1,2,3,4,5,6,7,0]
opt:base+nodeadstore	-	c16_pipe=aa[0,1,2,3,4,5,6,7] c2_asc=aa[0,1] c4_asc=aa[0,1,2,3] c6_asc=aa[0,1,2,3,4,5] c8_arr=am[7,0,1,2,3,4,5,6] c8_asc=aa[0,1,2,3,4,5,6,7] c8_desc=dd[7,6,5,4,3,2,1,0] c8_reg=aa[0,1,2,3,4,5,6,7] c8_revuse=am[1,2,3,4,5,6,7,0]
opt:base+nodeadcode	-	c16_pipe=aa[0,1,2,3,4,5,6,7] c2_asc=dd[1,0] c4_asc=mm[1,2,3,0] c6_asc=mm[1,2,3,4,5,0] c8_arr=mm[1,2,3,4,5,6,7,0] c8_asc=mm[1,2,3,4,5,6,7,0] c8_desc=dd[7,6,5,4,3,2,1,0] c8_reg=mm[1,2,3,4,5,6,7,0] c8_revuse=am[1,2,3,4,5,6,7,0]
opt:base+noprop	-	c16_pipe=aa[0,1,2,3,4,5,6,7] c2_asc=aa[0,1] c4_asc=aa[0,1,2,3] c6_asc=aa[0,1,2,3,4,5] c8_arr=aa[0,1,2,3,4,5,6,7] c8_asc=aa[0,1,2,3,4,5,6,7] c8_desc=dd[7,6,5,4,3,2,1,0] c8_reg=aa[0,1,2,3,4,5,6,7] c8_revuse=aa[0,1,2,3,4,5,6,7]
opt:base+nostrength	-	c16_pipe=aa[0,1,2,3,4,5,6,7] c2_asc=dd[1,0] c4_asc=mm[1,2,3,0] c6_asc=mm[1,2,3,4,5,0] c8_arr=mm[1,2,3,4,5,6,7,0] c8_asc=mm[1,2,3,4,5,6,7,0] c8_desc=dd[7,6,5,4,3,2,1,0] c8_reg=mm[1,2,3,4,5,6,7,0] c8_revuse=am[1,2,3,4,5,6,7,0]
opt:base+noloop	-	c16_pipe=aa[0,1,2,3,4,5,6,7] c2_asc=dd[1,0] c4_asc=mm[1,2,3,0] c6_asc=mm[1,2,3,4,5,0] c8_arr=mm[1,2,3,4,5,6,7,0] c8_asc=mm[1,2,3,4,5,6,7,0] c8_desc=dd[7,6,5,4,3,2,1,0] c8_reg=mm[1,2,3,4,5,6,7,0] c8_revuse=am[1,2,3,4,5,6,7,0]
opt:base+nopeephole	-	c16_pipe=aa[0,1,2,3,4,5,6,7] c2_asc=dd[1,0] c4_asc=mm[1,2,3,0] c6_asc=mm[1,2,3,4,5,0] c8_arr=mm[1,2,3,4,5,6,7,0] c8_asc=mm[1,2,3,4,5,6,7,0] c8_desc=dd[7,6,5,4,3,2,1,0] c8_reg=mm[1,2,3,4,5,6,7,0] c8_revuse=am[1,2,3,4,5,6,7,0]
opt:base+nospace	-	c16_pipe=aa[0,1,2,3,4,5,6,7] c2_asc=dd[1,0] c4_asc=mm[1,2,3,0] c6_asc=mm[1,2,3,4,5,0] c8_arr=mm[1,2,3,4,5,6,7,0] c8_asc=mm[1,2,3,4,5,6,7,0] c8_desc=dd[7,6,5,4,3,2,1,0] c8_reg=mm[1,2,3,4,5,6,7,0] c8_revuse=am[1,2,3,4,5,6,7,0]
opt:base+nospeed	-	c16_pipe=aa[0,1,2,3,4,5,6,7] c2_asc=dd[1,0] c4_asc=mm[1,2,3,0] c6_asc=mm[1,2,3,4,5,0] c8_arr=mm[1,2,3,4,5,6,7,0] c8_asc=mm[1,2,3,4,5,6,7,0] c8_desc=dd[7,6,5,4,3,2,1,0] c8_reg=mm[1,2,3,4,5,6,7,0] c8_revuse=am[1,2,3,4,5,6,7,0]
opt:base+sched_off	-	c16_pipe=aa[0,1,2,3,4,5,6,7] c2_asc=dd[1,0] c4_asc=mm[1,2,3,0] c6_asc=mm[1,2,3,4,5,0] c8_arr=mm[1,2,3,4,5,6,7,0] c8_asc=mm[1,2,3,4,5,6,7,0] c8_desc=dd[7,6,5,4,3,2,1,0] c8_reg=mm[1,2,3,4,5,6,7,0] c8_revuse=am[1,2,3,4,5,6,7,0]
