OSCreateHeap	8008EDD0	r3	init:li r3, 0x0	auto_03_8008ED50_text.s
ItemObject_TargetFirstHomingMatch	800DB3A0	r6	init:li r6, 0x0	auto_03_800DB2B0_text.s
fn_8029AB64	8029AEA0	r30	init:addi r30, r30, 0x8	auto_03_802731B4_text.s
fn_802AFBE8	802AFC48	r6	init:li r6, 0x0	auto_03_802731B4_text.s
fn_802B7D24	802B7DDC	r4	init:li r4, 0x0	auto_03_802731B4_text.s
fn_802B8D94	802B8FE8	r3	init:li r3, 0x0	auto_03_802731B4_text.s
fn_802BEB5C	802BED14	r5	init:li r5, 0x0	auto_03_802BD0FC_text.s
AI_UpdatePerFrameState	801EB5C0	r6	init:li r6, 0x0	auto_AI_UpdatePerFrameSta_text.s
KartMovement_Init	8019E508	r4	init:mr r4, r5	auto_CarObject_Dtor_text.s
fn_8019EC18	8019EDB0	r4	init:mr r4, r5	auto_CarObject_Dtor_text.s
HandOverItem_HandToHandTick	800FCFD8	r5	init:li r5, 0x0	auto_HandOverItem_HandToH_text.s
ItemObject_Tick_Dispatch16To1d	800E2864	r7	init:li r7, 0x0	auto_ItemObject_Tick_Disp_text_2.s
KartController_Update	801E72C0	r5	init:mr r5, r6	auto_KartController_Updat_text.s
KartController_Update	801E74EC	r5	init:mr r5, r6	auto_KartController_Updat_text.s
KartController_Update	801E7718	r5	init:mr r5, r6	auto_KartController_Updat_text.s
KartController_Update	801E7978	r5	init:mr r5, r6	auto_KartController_Updat_text.s
KartController_Update	801E7C04	r4	init:mr r4, r5	auto_KartController_Updat_text.s
KartMovement_CollisionUpdate	8019B7A8	r4	init:mr r4, r5	auto_KartMovement_Collisi_text.s
KartMovement_CollisionUpdate	8019BA4C	r22	init:mr r22, r21	auto_KartMovement_Collisi_text.s
KartMovement_RotateByYaw	80199DB8	r4	init:mr r4, r5	auto_KartMovement_RotateB_text.s
KartMovement_RotateByYaw	8019A11C	r7	init:mr r7, r8	auto_KartMovement_RotateB_text.s
KartMovement_RotateByYaw	8019A340	r4	init:mr r4, r5	auto_KartMovement_RotateB_text.s
KartPhysics_UpdateSmoothing	801F030C	r4	init:mr r4, r5	auto_KartPhysics_UpdateSm_text.s
NameCheck_ScanBannedWords	8009A4F0	r7	init:li r7, 0x0	auto_NameCheck_ScanBanned_text.s
NameCheck_ScanBannedWords	8009A6E4	r6	init:li r6, 0x0	auto_NameCheck_ScanBanned_text.s
NameCheck_ScanBannedWords	8009A83C	r19	init:li r19, 0x0	auto_NameCheck_ScanBanned_text.s
